ID,Продукт,Регион,по,Правообладатель,Новое назавание
19184356,CyberTaxi,RU,ИГРЫ. Ultimate Games SA (Genba),Genba,CyberTaxi RU
19184393,Intravenous 2,RU,ИГРЫ. Hypetrain Digital (Genba),Genba,Intravenous 2 RU
19184503,Cat Quest III,RU,ИГРЫ. Kepler Interactive (Genba),Genba,Cat Quest III RU
19184516,Electrician Simulator,EU,EU ИГРЫ. Ultimate Games SA (Genba),Genba,Electrician Simulator EU
19184519,Ultimate Fishing Simulator,EUR,EU ИГРЫ. Ultimate Games SA (Genba),Genba,Ultimate Fishing Simulator EUR
19184530,Ultimate Fishing Simulator 2,EUR,EU ИГРЫ. Ultimate Games SA (Genba),Genba,Ultimate Fishing Simulator 2 EUR
19184538,Wizardry: The Five Ordeals,CNY,CNY GAMES. H2 Interactive (Genba),H2 Interactive (Genba),Wizardry: The Five Ordeals CNY
19184589,SWORD ART ONLINE Fractured Daydream - Deluxe Edition,RUB,ИГРЫ. Bandai Namco Ent. (Genba),Genba,SWORD ART ONLINE Fractured Daydream - Deluxe Edition RUB
19184594,SWORD ART ONLINE Fractured Daydream - Premium Edition,RUB,ИГРЫ. Bandai Namco Ent. (Genba),Genba,SWORD ART ONLINE Fractured Daydream - Premium Edition RUB
19184606,Dragon's Dogma: Dark Arisen,KZT,KZT GAMES. Capcom (Genba),Genba,Dragon's Dogma: Dark Arisen KZT
19184613,Resident Evil HD REMASTER,KZT,KZT GAMES. Capcom (Genba),Genba,Resident Evil HD REMASTER KZT
19184629,"Warhammer 40,000: Rogue Trader - Void Shadows",RU,ИГРЫ. Owlcat Games,Owlcat Games,"Warhammer 40,000: Rogue Trader - Void Shadows RU"
19184631,Black Myth: Wukong,USD,USD (CIS) ИГРЫ. HeyBox,HeyBox,Black Myth: Wukong USD
19184632,Black Myth: Wukong,USD,USD ИГРЫ. HeyBox,HeyBox,Black Myth: Wukong USD
19184636,"Warhammer 40,000: Rogue Trader - Void Shadows",NZD,NZD ИГРЫ. Owlcat Games,Owlcat Games,"Warhammer 40,000: Rogue Trader - Void Shadows NZD"
19184698,Black Myth: Wukong - Deluxe Edition,USD,USD (CIS) ИГРЫ. HeyBox,HeyBox,Black Myth: Wukong - Deluxe Edition USD
19184699,Black Myth: Wukong - Deluxe Edition,USD,USD ИГРЫ. HeyBox,HeyBox,Black Myth: Wukong - Deluxe Edition USD
19184757,Ready or Not: Home Invasion Bundle,USD,USD (CIS) ИГРЫ. Green Man Gaming 2,Green Man Gaming 2,Ready or Not: Home Invasion Bundle USD
19184778,GUNDAM BREAKER 4,EUR,EUR GAMES. Bandai Namco Ent. 2 (Genba),Genba,GUNDAM BREAKER 4 EUR
19184844,Wild Bastards,UAH,UAH GAMES. Maximum Entertainment (Genba),Genba,Wild Bastards UAH
19184884,Hammerwatch Anniversary Edition,UAH,UAH GAMES. Maximum Entertainment (Genba),Genba,Hammerwatch Anniversary Edition UAH
19184892,Afterimage,UAH,UAH GAMES. Maximum Entertainment (Genba),Genba,Afterimage UAH
19184893,Until Then,UAH,Genba,Genba,Until Then UAH
19184895,Paleo Pines,UAH,UAH GAMES. Maximum Entertainment (Genba),Genba,Paleo Pines UAH
19184897,Double Dragon Gaiden: Rise Of The Dragons,UAH,UAH GAMES. Maximum Entertainment (Genba),Genba,Double Dragon Gaiden: Rise Of The Dragons UAH
19184903,Thief Simulator,EUR,EUR GAMES. PlayWay SA (Genba),PlayWay SA (Genba),Thief Simulator EUR
19184904,Unknown 9: Awakening,RUB,ИГРЫ. Bandai Namco Ent. (Genba),Genba,Unknown 9: Awakening RUB
19184905,Unknown 9: Awakening - Deluxe Edition,RUB,ИГРЫ. Bandai Namco Ent. (Genba),Genba,Unknown 9: Awakening - Deluxe Edition RUB
19184918,WARCANA,EU,EU ИГРЫ. Team17,Team17,WARCANA EU
19184937,Taiko no Tatsujin: Rhythm Festival,RUB,ИГРЫ. Bandai Namco Ent. (Genba),Genba,Taiko no Tatsujin: Rhythm Festival RUB
